trade_num,entry_date,exit_date,days_held,position_size,position_type,entry_price,exit_price,price_change,price_change_pct,trade_return_pct,profit_loss,entry_fg_value,entry_fg_change,entry_fg_momentum_short,entry_fg_momentum_medium,entry_fg_momentum_long,entry_fg_velocity,entry_fg_acceleration,entry_fg_zscore,entry_volatility,entry_price_momentum,entry_fg_price_corr,exit_fg_value,exit_fg_momentum_short,exit_fg_velocity,exit_volatility,entry_signal_strength
60,2014-06-18,2014-06-23,5,1.9734,LONG,161.4777069091797,161.93734741210938,0.4596405029296875,0.2846464144974581,0.5617212343692838,PROFIT,94,6.0,4.333333333333329,6.5,10.833333333333329,3.0,1.3333333333333333,2.33331324562334,0.05902502808917689,0.015604709246741955,0.9341291588455234,93,-1.3333333333333286,-0.3333333333333333,0.05435461990433761,1.4520000000000002
61,2014-06-30,2014-07-03,3,1.9734,LONG,161.80496215820312,163.85525512695312,2.05029296875,1.2671384989697332,2.5005711138668714,PROFIT,87,11.0,7.0,3.8333333333333286,0.0833333333333286,1.3333333333333333,3.666666666666667,1.4381695813480067,0.05786903541497367,0.006671211127173171,0.9311273572142469,86,-0.6666666666666714,-0.3333333333333333,0.05935504441139443,1.4520000000000002
62,2014-08-13,2014-08-25,12,1.6445,LONG,161.0775604248047,165.5086669921875,4.4311065673828125,2.750914873367094,4.523879509252186,PROFIT,13,5.0,3.666666666666666,5.0,2.166666666666666,1.0,0.0,-1.367593566616626,0.11827506765935758,-0.00227841618708291,0.7591213178795403,35,-1.0,-0.6666666666666666,0.11160286930854608,1.1
63,2014-08-29,2014-09-08,10,1.9734,LONG,165.9303741455078,165.8311309814453,-0.0992431640625,-0.05981012492352056,-0.11802930052407547,LOSS,41,8.0,5.333333333333336,5.166666666666664,9.75,1.6666666666666667,2.3333333333333335,-0.3119661705825628,0.07723713318558466,0.02119648805891572,0.9365570741049093,47,-1.0,-0.3333333333333333,0.049945940358139054,1.4520000000000002
64,2014-10-17,2014-10-29,12,1.7939999999999998,LONG,156.5395965576172,164.5465087890625,8.006912231445312,5.11494369956309,9.176208997016182,PROFIT,7,5.0,3.6666666666666665,4.833333333333334,3.75,1.6666666666666667,1.0,-0.9146991287935677,0.16805122296703845,-0.027633390555757975,0.7317549354609404,25,4.333333333333332,4.0,0.18191789674389156,1.32
65,2014-10-30,2014-11-11,12,1.7939999999999998,LONG,165.601318359375,169.58807373046875,3.98675537109375,2.4074418069800707,4.318950601722246,PROFIT,31,6.0,5.333333333333332,11.5,18.75,5.0,1.0,0.5722776962058407,0.1828755252312415,0.032321675787165605,0.7588087369561554,58,1.3333333333333357,3.0,0.1119944702216152,1.4520000000000002
66,2014-11-20,2014-11-28,8,1.9734,LONG,170.75091552734375,172.09642028808594,1.3455047607421875,0.7879927065613357,1.5550248071281398,PROFIT,59,4.0,3.0,4.333333333333336,4.666666666666664,2.0,1.3333333333333335,1.5068621575060988,0.06773382477081462,0.01694503226662203,0.9555591528549805,59,-2.3333333333333357,-1.0,0.05476581309429853,1.4520000000000002
67,2014-12-22,2014-12-31,9,1.7939999999999998,LONG,173.27178955078125,171.65994262695312,-1.611846923828125,-0.9302419788050575,-1.668854109976273,LOSS,43,10.0,6.666666666666664,14.5,6.166666666666664,7.333333333333333,2.666666666666666,0.4714937962498235,0.15701166493668248,0.015357465639496137,0.6783936813535592,45,-1.3333333333333357,-1.0,0.1585650548120869,1.4520000000000002
68,2015-01-22,2015-01-26,4,1.7939999999999998,LONG,172.1276092529297,171.58473205566406,-0.542877197265625,-0.31539228344704684,-0.565813756504002,LOSS,32,4.0,3.666666666666668,3.5,4.583333333333332,2.0,2.6666666666666665,-0.7003804389441018,0.15024257397884128,0.009618659570017174,0.7965748919455881,28,-2.333333333333332,0.0,0.1515616188239629,1.4520000000000002
69,2015-02-02,2015-02-12,10,1.7939999999999998,LONG,168.63658142089844,174.48280334472656,5.846221923828125,3.466757849672364,6.21936358231222,PROFIT,30,5.0,3.0,2.833333333333332,2.083333333333332,1.3333333333333333,2.333333333333333,-0.8371431103863898,0.17541658790003495,-0.002406168159187261,0.8114922339165946,64,4.333333333333336,4.0,0.15263190549513336,1.32
70,2015-02-13,2015-02-23,10,1.9734,LONG,175.2010040283203,176.395263671875,1.1942596435546875,0.681651141315176,1.3451703622713684,PROFIT,73,9.0,7.0,13.666666666666664,25.083333333333336,6.333333333333333,2.333333333333333,2.1689377518135853,0.14690982118768692,0.026529341774597537,0.7962674750149484,77,-1.0,-0.6666666666666666,0.13178050086809104,1.4520000000000002
71,2015-03-23,2015-03-26,3,1.9734,LONG,176.1676025390625,172.19967651367188,-3.967926025390625,-2.2523585314222605,-4.444804325908689,LOSS,48,5.0,3.3333333333333357,5.5,2.0,3.0,2.0,0.041221353689562465,0.1269279596792692,0.00774201109023176,0.5723275158011359,37,-4.666666666666664,-3.6666666666666665,0.13759110062471605,1.4520000000000002
72,2015-04-02,2015-04-15,13,1.6445,LONG,173.18113708496094,176.5283203125,3.3471832275390625,1.9327643205720335,3.1784309251807095,PROFIT,40,5.0,2.6666666666666643,3.0,-0.25,1.0,1.3333333333333333,-0.3918629958331508,0.14637000631834723,-0.002312628735611444,0.6790090718882098,60,0.0,1.3333333333333333,0.10915242451619073,1.32
73,2015-04-21,2015-04-27,6,1.265,LONG,175.83204650878906,176.8135528564453,0.98150634765625,0.5582067473730801,0.7061315354269463,PROFIT,59,4.0,2.0,1.0,4.083333333333336,0.6666666666666666,2.3333333333333335,0.42749388033718466,0.10818495333015904,0.007396820492707512,0.5481229619335823,59,-4.0,0.0,0.0927411063214314,1.4520000000000002
74,2015-05-14,2015-05-22,8,1.9734,LONG,178.0215606689453,178.6759490966797,0.654388427734375,0.3675894230313448,0.7254009674100558,PROFIT,57,2.0,3.3333333333333357,2.8333333333333357,0.5833333333333357,1.3333333333333333,2.333333333333333,0.14409098220062874,0.11499892289374189,0.009473426588725964,0.7133342412227721,60,-2.6666666666666643,-0.6666666666666666,0.10116343467212172,1.4520000000000002
75,2015-06-11,2015-06-12,1,1.9734,LONG,177.5350341796875,176.176025390625,-1.3590087890625,-0.7654876657679943,-1.51061335962656,LOSS,41,4.0,3.0,2.0,-0.5833333333333357,1.6666666666666667,2.666666666666667,-1.0442792825300078,0.09322440229258304,0.00028133120922890775,0.3715055877910431,30,-6.0,-2.0,0.08944269501043792,1.4520000000000002
76,2015-06-18,2015-06-24,6,1.9734,LONG,178.49974060058594,177.44602966308594,-1.0537109375,-0.590315108556827,-1.1649278352260424,LOSS,34,8.0,5.0,3.333333333333332,-1.1666666666666643,2.6666666666666665,4.0,-1.4002140887744021,0.10011483880122993,0.008318914474022998,0.5807786013021464,36,-6.333333333333336,2.0,0.09167440510732006,1.4520000000000002
77,2015-07-13,2015-07-21,8,1.9734,LONG,176.8306884765625,178.499755859375,1.6690673828125,0.9438788013505395,1.8626504265851547,PROFIT,24,10.0,7.333333333333332,9.833333333333334,6.916666666666668,5.0,4.666666666666667,-1.109638867380668,0.1356992819627921,0.005833089764813337,0.8181884761011935,25,-6.0,-1.6666666666666667,0.13052228062214152,1.4520000000000002
78,2015-07-29,2015-08-05,7,1.9734,LONG,177.67364501953125,177.0835723876953,-0.5900726318359375,-0.3321103879931453,-0.6553866396656729,LOSS,21,4.0,6.0,5.166666666666666,-1.6666666666666679,2.0,1.3333333333333335,-0.8790218781628579,0.1220459043675164,0.00772645497570057,0.8194632653407787,21,-3.333333333333332,0.3333333333333333,0.09971872427877884,1.4520000000000002
79,2015-08-17,2015-08-20,3,1.518,LONG,177.5218963623047,171.94143676757812,-5.5804595947265625,-3.143533112860286,-4.7718832653219145,LOSS,14,3.0,2.0,3.0,-1.583333333333334,1.6666666666666667,2.0,-0.952642516881972,0.10124109547417999,0.00475202151927645,0.7182634661428366,8,-3.333333333333334,-2.0,0.12563935093282078,1.4520000000000002
80,2015-08-25,2015-09-01,7,1.4949999999999999,LONG,157.86373901367188,161.65713500976562,3.79339599609375,2.4029558781483162,3.5924190378317324,PROFIT,9,6.0,2.333333333333333,0.0,-1.0,0.3333333333333333,3.666666666666667,-1.1515154776437508,0.20471543435270598,-0.09341550047066638,0.5796641627916426,9,-3.333333333333334,-1.3333333333333333,0.2908740345365428,1.32
81,2015-09-15,2015-09-24,9,0.8049999999999999,LONG,167.29661560058594,163.45506286621094,-3.841552734375,-2.2962525097020237,-1.8484832703101288,LOSS,16,3.0,1.666666666666666,2.0,3.083333333333334,0.3333333333333333,0.3333333333333333,-0.15211080355907772,0.32234540923570687,0.006861668040210045,0.35861699306041905,22,-6.0,-0.3333333333333333,0.22291420920671576,1.4520000000000002
82,2015-09-30,2015-10-12,12,1.4949999999999999,LONG,162.37893676757812,170.75926208496094,8.380325317382812,5.160968216818684,7.715647484143933,PROFIT,21,8.0,4.666666666666668,1.0,1.0,1.0,4.0,0.6118421910628757,0.20456647706695855,-0.013356743033817509,0.03866834442986488,41,-1.0,1.3333333333333333,0.17626815196004583,1.32
83,2015-10-16,2015-10-28,12,1.7939999999999998,LONG,172.2421875,177.0551300048828,4.8129425048828125,2.794287842450216,5.012952389355687,PROFIT,45,4.0,4.666666666666664,5.0,9.333333333333336,3.3333333333333335,3.3333333333333335,2.46613351781208,0.16828102593082786,0.034584782617193444,0.7292227362230285,69,2.6666666666666714,3.3333333333333335,0.12777932695919492,1.4520000000000002
84,2015-11-02,2015-11-06,4,1.518,LONG,178.27528381347656,177.97872924804688,-0.2965545654296875,-0.16634642732638039,-0.2525138766814454,LOSS,73,3.0,1.6666666666666714,4.166666666666671,13.0,1.3333333333333333,1.0,2.3352882375457806,0.11806456439640206,0.032026478186518714,0.9658488031651906,71,-1.0,-0.6666666666666666,0.11463940197189328,1.4520000000000002
85,2015-11-24,2015-12-01,7,1.518,LONG,177.39410400390625,178.52105712890625,1.126953125,0.635282176557106,0.9643583440136868,PROFIT,56,3.0,2.0,3.3333333333333357,0.3333333333333357,1.3333333333333333,0.6666666666666666,0.746068854142102,0.1275690164505391,0.005159177884806798,0.7902406193749629,55,-2.0,-1.3333333333333333,0.11843825232384286,1.4520000000000002
86,2015-12-16,2015-12-17,1,1.7939999999999998,LONG,176.2755584716797,173.58946228027344,-2.68609619140625,-1.5238052369227373,-2.7337065950393904,LOSS,46,11.0,9.0,11.5,3.75,7.0,7.333333333333333,-0.1038683356852191,0.15976708456229477,0.0022232945860729547,0.6880540309494982,37,-2.3333333333333357,2.3333333333333335,0.1586680509413992,1.4520000000000002
87,2015-12-23,2015-12-31,8,1.7939999999999998,LONG,175.61138916015625,173.7786865234375,-1.83270263671875,-1.043612629843349,-1.872241057938968,LOSS,43,7.0,5.0,4.0,6.583333333333336,2.0,2.3333333333333335,-0.4312928661458722,0.18260258235318652,0.0042802340313050635,0.682216161475296,46,-0.6666666666666643,-0.6666666666666666,0.18443060368272937,1.4520000000000002
88,2016-01-27,2016-02-03,7,1.38,LONG,160.3618927001953,163.0640411376953,2.7021484375,1.685031519646496,2.3253434971121645,PROFIT,18,2.0,1.6666666666666679,3.5,3.666666666666666,1.3333333333333333,0.33333333333333326,-1.3111181560714982,0.2162753511563566,-0.02915689918880171,0.9540711739263159,24,-1.3333333333333321,-0.6666666666666666,0.23845213215652686,1.32
89,2016-02-12,2016-02-25,13,1.7939999999999998,LONG,159.08331298828125,166.67819213867188,7.594879150390625,4.774151988493025,8.564828667356487,PROFIT,21,3.0,2.333333333333332,3.5,0.16666666666666785,2.0,1.6666666666666667,-0.8043341630908781,0.22158131932645864,-0.00934231529618934,0.8520010678858039,53,1.0,1.0,0.2043463179296893,1.32
90,2016-02-29,2016-03-10,10,1.15,LONG,164.99046325683594,170.08779907226562,5.0973358154296875,3.089473000324161,3.552893950372785,PROFIT,55,3.0,1.6666666666666643,2.8333333333333357,13.0,0.6666666666666666,0.0,1.6307865647689115,0.18834868592156784,0.015660559926160778,0.790649368141326,72,1.0,0.3333333333333333,0.17180738713029267,1.2100000000000002
91,2016-03-11,2016-03-21,10,1.7939999999999998,LONG,172.83251953125,175.3603515625,2.52783203125,1.462590511384021,2.623887377422933,PROFIT,75,3.0,2.3333333333333286,3.8333333333333286,9.75,1.6666666666666667,1.3333333333333335,2.0347859594114706,0.16506816503558377,0.03558353257766189,0.9255158176914442,76,-1.6666666666666714,0.3333333333333333,0.13330858189426328,1.4520000000000002
92,2016-03-31,2016-04-06,6,1.9734,LONG,176.0886688232422,176.8597869873047,0.7711181640625,0.4379146990068694,0.8641808670201561,PROFIT,71,4.0,2.6666666666666714,2.5,-1.5,2.3333333333333335,4.0,1.1441857856598303,0.08999779578259365,0.016921763543525703,0.8564288597352798,72,-0.3333333333333286,-0.6666666666666666,0.09703485104090714,1.4520000000000002
93,2016-04-13,2016-04-25,12,1.6445,LONG,178.21356201171875,178.73617553710938,0.522613525390625,0.2932512652186636,0.48225170565209236,PROFIT,70,4.0,2.6666666666666714,1.0,0.1666666666666714,0.6666666666666666,2.6666666666666665,0.8185126247613886,0.10359233286760536,0.015653250112766637,0.08925878603855404,71,-2.3333333333333286,-1.3333333333333333,0.1023370140628274,1.4520000000000002
94,2016-05-23,2016-06-03,11,1.265,LONG,175.8230438232422,180.16702270507812,4.3439788818359375,2.4706538957447455,3.1253771781171027,PROFIT,57,2.0,1.6666666666666643,1.3333333333333357,-1.1666666666666643,0.3333333333333333,0.0,-1.6422658594633506,0.10591044073220063,-0.0051584003195997985,0.891200610265331,77,-1.0,0.0,0.10270644313658123,1.4300000000000002
95,2016-06-23,2016-06-24,1,1.9734,LONG,181.5603790283203,175.0407257080078,-6.5196533203125,-3.5909009196855357,-7.086283874907436,LOSS,66,5.0,3.3333333333333357,7.5,4.833333333333336,2.0,-0.6666666666666665,-0.08842716072085494,0.07953669393322176,0.009515332414656408,0.7732585444779281,44,-13.0,-5.666666666666667,0.15221284188737016,1.2100000000000002
96,2016-06-29,2016-07-07,8,1.7939999999999998,LONG,177.98626708984375,180.45802307128906,2.4717559814453125,1.3887340983434582,2.491388972428164,PROFIT,58,10.0,7.666666666666664,4.333333333333336,3.5833333333333357,4.666666666666667,10.666666666666668,-0.762659083201627,0.18847470383673362,-0.004962121558348631,0.8238622842276406,69,0.0,-0.6666666666666666,0.19623394665340985,1.32
