Trade,Buy Date,Sell Date,Buy Price,Sell Price,Return % (price),Shares,PnL Raw,PnL After Tax,Portfolio Value,Result
192,2018-11-05,2018-11-09,245.84,249.77,1.6,332,1305.0,766.04,41587.58,WIN
193,2018-11-21,2018-12-04,238.32,243.02,1.97,349,1641.42,963.51,42551.09,WIN
194,2018-12-13,2018-12-14,238.63,234.23,-1.85,357,-1571.38,-1571.38,40979.7,LOSS
195,2018-12-27,2019-01-03,224.38,220.89,-1.56,365,-1275.31,-1275.31,39704.4,LOSS
196,2019-01-04,2019-01-14,228.28,232.82,1.99,348,1576.28,925.28,40629.67,WIN
197,2019-01-16,2019-01-28,236.05,238.57,1.07,344,865.58,508.1,41137.77,WIN
198,2019-01-31,2019-02-07,244.15,244.34,0.08,337,64.06,37.61,41175.37,WIN
199,2019-02-12,2019-02-14,247.92,248.17,0.1,332,84.11,49.37,41224.75,WIN
200,2019-02-15,2019-02-21,250.88,250.92,0.02,329,14.88,8.73,41233.48,WIN
201,2019-02-27,2019-03-04,252.53,252.72,0.07,327,59.06,34.67,41268.15,WIN
202,2019-03-15,2019-03-20,255.56,255.78,0.09,323,70.41,41.33,41309.48,WIN
203,2019-03-21,2019-03-22,258.67,253.69,-1.92,319,-1590.1,-1590.1,39719.38,LOSS
204,2019-04-01,2019-04-09,259.67,261.01,0.52,306,411.34,241.46,39960.84,WIN
205,2019-04-12,2019-04-15,263.6,263.43,-0.07,303,-52.36,-52.36,39908.47,LOSS
206,2019-04-23,2019-04-24,266.07,265.48,-0.22,300,-177.12,-177.12,39731.36,LOSS
207,2019-05-10,2019-05-13,261.73,255.15,-2.51,304,-1996.9,-1996.9,37734.46,LOSS
208,2019-05-16,2019-05-20,261.37,257.96,-1.3,289,-983.68,-983.68,36750.78,LOSS
209,2019-06-04,2019-06-12,254.85,262.0,2.8,288,2059.42,1208.88,37959.67,WIN
210,2019-06-13,2019-06-25,263.08,265.43,0.9,289,680.11,399.22,38358.89,WIN
211,2019-06-28,2019-07-08,267.48,270.97,1.3,287,1000.22,587.13,38946.02,WIN
212,2019-07-11,2019-07-15,273.24,274.55,0.48,285,374.75,219.98,39166.0,WIN
213,2019-07-23,2019-07-30,273.9,274.53,0.23,286,180.17,105.76,39271.76,WIN
214,2019-08-13,2019-08-14,267.07,259.17,-2.96,294,-2322.35,-2322.35,36949.41,LOSS
215,2019-08-19,2019-08-22,266.87,266.89,0.01,277,7.58,4.45,36953.86,WIN
216,2019-08-29,2019-09-11,267.09,274.1,2.62,277,1937.51,1137.32,38091.18,WIN
217,2019-09-12,2019-09-18,275.05,274.87,-0.06,277,-48.03,-48.03,38043.15,LOSS
218,2019-09-25,2019-09-26,272.95,272.38,-0.21,279,-158.51,-158.51,37884.64,LOSS
219,2019-10-10,2019-10-22,268.93,274.23,1.97,282,1490.9,875.16,38759.8,WIN
220,2019-10-25,2019-11-06,276.6,281.64,1.82,280,1413.62,829.8,39589.59,WIN
221,2019-11-07,2019-11-11,282.64,282.79,0.06,280,43.69,25.64,39615.24,WIN
222,2019-11-27,2019-12-02,289.33,285.81,-1.22,274,-964.39,-964.39,38650.84,LOSS
223,2019-12-06,2019-12-10,288.77,287.54,-0.43,268,-328.98,-328.98,38321.87,LOSS
224,2019-12-12,2019-12-24,290.84,296.05,1.79,264,1372.58,805.7,39127.57,WIN
225,2020-01-02,2020-01-03,299.41,297.14,-0.76,261,-592.57,-592.57,38535.0,LOSS
226,2020-01-30,2020-01-31,302.0,296.51,-1.82,255,-1399.44,-1399.44,37135.56,LOSS
227,2020-02-05,2020-02-07,306.77,306.16,-0.2,242,-147.25,-147.25,36988.31,LOSS
228,2020-02-12,2020-02-14,310.97,311.14,0.05,238,39.48,23.17,37011.48,WIN
229,2020-03-04,2020-03-05,288.34,278.75,-3.32,257,-2460.65,-2460.65,34550.83,LOSS
230,2020-04-27,2020-05-01,266.11,262.16,-1.48,260,-1025.52,-1025.52,33525.31,LOSS
231,2020-05-08,2020-05-12,271.1,265.75,-1.97,247,-1322.94,-1322.94,32202.37,LOSS
232,2020-05-18,2020-05-22,273.48,273.88,0.15,236,96.06,56.39,32258.76,WIN
233,2020-05-27,2020-05-28,281.38,280.86,-0.18,229,-119.04,-119.04,32139.72,LOSS
234,2020-06-01,2020-06-11,283.26,278.68,-1.62,227,-1039.23,-1039.23,31100.49,LOSS
235,2020-07-14,2020-07-24,296.95,298.78,0.61,209,382.27,224.39,31324.88,WIN
236,2020-07-31,2020-08-11,304.03,309.88,1.92,206,1204.94,707.3,32032.18,WIN
237,2020-08-24,2020-08-31,319.3,325.25,1.86,201,1193.78,700.75,32732.92,WIN
238,2020-09-09,2020-09-11,316.38,311.05,-1.69,207,-1103.98,-1103.98,31628.94,LOSS
239,2020-10-07,2020-10-14,318.56,325.26,2.1,199,1331.02,781.31,32410.25,WIN
240,2020-10-16,2020-10-20,324.66,321.01,-1.13,200,-729.78,-729.78,31680.46,LOSS
241,2020-10-21,2020-10-26,320.4,317.28,-0.97,198,-617.47,-617.47,31062.99,LOSS
242,2020-11-04,2020-11-12,321.16,330.2,2.81,193,1748.73,1026.5,32089.49,WIN
243,2020-11-16,2020-11-18,338.95,333.07,-1.73,189,-1113.41,-1113.41,30976.08,LOSS
244,2020-11-23,2020-11-30,334.17,338.47,1.29,185,797.23,467.97,31444.06,WIN
245,2020-12-04,2020-12-08,345.75,346.05,0.09,182,54.4,31.93,31475.99,WIN
246,2020-12-17,2020-12-18,347.99,346.6,-0.4,181,-251.34,-251.34,31224.65,LOSS
247,2021-01-21,2021-01-26,360.74,360.31,-0.12,173,-73.13,-73.13,31151.52,LOSS
248,2021-02-01,2021-02-11,353.22,366.81,3.85,176,2397.86,1407.55,32559.07,WIN
249,2021-02-23,2021-02-24,363.8,367.81,1.1,179,717.55,421.2,32980.27,WIN
250,2021-03-08,2021-03-17,358.37,372.96,4.07,184,2685.28,1576.26,34556.53,WIN
251,2021-03-29,2021-04-07,372.79,382.97,2.73,185,1887.69,1108.08,35664.61,WIN
252,2021-04-15,2021-04-19,391.71,391.09,-0.16,182,-113.21,-113.21,35551.4,LOSS
253,2021-04-26,2021-04-29,393.35,395.66,0.59,181,417.14,244.86,35796.26,WIN
254,2021-05-06,2021-05-10,394.72,393.66,-0.27,181,-193.06,-193.06,35603.2,LOSS
255,2021-05-27,2021-06-09,394.93,397.15,0.56,180,400.78,235.26,35838.46,WIN
